[2025-07-27 00:02:50] ERROR | SERVER | STARTUP_ERROR | Puerto: 8080 - Error: Address already in use: bind | SERVER | ID:01402195
[2025-07-27 00:02:57] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:09194447
[2025-07-27 00:02:57] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:97630068
[2025-07-27 00:02:57] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:00411659
[2025-07-27 00:02:57] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:40877826
[2025-07-27 00:03:00] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:50985 | /127.0.0.1 | ID:91231474
[2025-07-27 00:03:00] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:50985 | SERVER | ID:97369800
[2025-07-27 00:04:21] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:50996 | /127.0.0.1 | ID:20590875
[2025-07-27 00:04:21] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:50996 | SERVER | ID:86328022
[2025-07-27 00:04:59] INFO | SERVER | SHUTDOWN | ServerSocket cerrado exitosamente | SERVER | ID:53141903
[2025-07-27 00:04:59] INFO | CONSOLE | THREAD_ENDED | Hilo de monitoreo terminado | SERVER | ID:17921367
[2025-07-27 00:05:23] INFO | SERVER | HOST_RESOLVE | Host: 192.168.0.2 | SERVER | ID:96958854
[2025-07-27 00:05:23] INFO | SERVER | SOCKET_CREATED | ServerSocket creado en puerto: 8080 | SERVER | ID:51613303
[2025-07-27 00:05:23] INFO | SERVER | STARTED | Servidor activo en 192.168.0.2:8080 | SERVER | ID:04343186
[2025-07-27 00:05:23] INFO | CONSOLE | THREAD_STARTED | Hilo de monitoreo iniciado | SERVER | ID:49048084
[2025-07-27 00:05:26] INFO | CLIENT | CONNECTION_ACCEPTED | /127.0.0.1:51000 | /127.0.0.1 | ID:47896859
[2025-07-27 00:05:26] DEBUG | SYSTEM | THREAD_CREATED | Hilo virtual para: /127.0.0.1:51000 | SERVER | ID:41819254
